Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2005-01-03,121.55999755859376,121.76000213623048,119.9000015258789,120.3000030517578,81.38371276855469,55748000,0.0,0.0
2005-01-04,120.45999908447266,120.54000091552734,118.44000244140624,118.83000183105467,80.38927459716797,69167600,0.0,0.0
2005-01-05,118.73999786376952,119.25,118.0,118.01000213623048,79.83452606201172,65667300,0.0,0.0
2005-01-06,118.44000244140624,119.1500015258789,118.26000213623048,118.61000061035156,80.2404556274414,47814700,0.0,0.0
2005-01-07,118.97000122070312,119.2300033569336,118.12999725341795,118.44000244140624,80.12545776367188,55847700,0.0,0.0
2005-01-10,118.33999633789062,119.45999908447266,118.33999633789062,119.0,80.50428009033203,56563300,0.0,0.0
2005-01-11,118.63999938964844,118.73999786376952,117.98999786376952,118.18000030517578,79.94952392578125,63099700,0.0,0.0
2005-01-12,118.4000015258789,118.83999633789062,117.5199966430664,118.56999969482422,80.21337127685547,72720500,0.0,0.0
2005-01-13,118.63999938964844,118.7300033569336,117.5,117.62000274658205,79.5707015991211,55537500,0.0,0.0
2005-01-14,117.97000122070312,118.52999877929688,117.76000213623048,118.23999786376952,79.99015808105469,42032500,0.0,0.0
2005-01-18,118.0500030517578,119.62000274658205,117.9499969482422,119.47000122070312,80.82222747802734,57391700,0.0,0.0
2005-01-19,119.43000030517578,119.5199966430664,118.20999908447266,118.22000122070312,79.97660827636719,54378900,0.0,0.0
2005-01-20,117.88999938964844,118.1999969482422,117.29000091552734,117.5,79.4895248413086,72049300,0.0,0.0
2005-01-21,117.79000091552734,118.0,116.6500015258789,116.77999877929688,79.00245666503906,63160400,0.0,0.0
2005-01-24,117.08999633789062,117.33999633789062,116.37000274658205,116.5500030517578,78.8468246459961,58441900,0.0,0.0
2005-01-25,116.91000366210938,117.47000122070312,116.72000122070312,116.87999725341795,79.07007598876953,68245000,0.0,0.0
2005-01-26,117.31999969482422,117.5999984741211,117.04000091552734,117.2300033569336,79.30685424804688,57195100,0.0,0.0
2005-01-27,117.19000244140624,117.75,116.9800033569336,117.43000030517578,79.44216918945312,55878800,0.0,0.0
2005-01-28,117.48999786376952,117.5500030517578,116.61000061035156,117.43000030517578,79.44216918945312,60738900,0.0,0.0
2005-01-31,117.9499969482422,118.25,117.70999908447266,118.16000366210938,79.93598937988281,52532700,0.0,0.0
2005-02-01,118.25,119.08000183105467,118.0999984741211,118.91000366210938,80.44338989257812,49841200,0.0,0.0
2005-02-02,119.05999755859376,119.58999633789062,118.9000015258789,119.2699966430664,80.68692779541016,52468900,0.0,0.0
2005-02-03,119.05999755859376,119.16000366210938,118.56999969482422,118.95999908447266,80.47718811035156,48837100,0.0,0.0
2005-02-04,119.0,120.43000030517578,118.9800033569336,120.2300033569336,81.33638000488281,50024600,0.0,0.0
2005-02-07,120.25,120.5199966430664,119.95999908447266,120.06999969482422,81.22811889648438,45412000,0.0,0.0
2005-02-08,120.16999816894533,120.6500015258789,120.06999969482422,120.20999908447266,81.3228530883789,39263500,0.0,0.0
2005-02-09,120.41999816894533,120.48999786376952,119.25,119.30999755859376,80.71394348144531,55279400,0.0,0.0
2005-02-10,119.66000366210938,120.0199966430664,119.26000213623048,119.73999786376952,81.0049057006836,45858600,0.0,0.0
